; Hulk, Leia Organa
Master Apprentice; Ahsoka Tano|Anakin Skywalker, Anakin Skywalker|Ahsoka Tano, Anakin Skywalker|Obi-Wan Kenobi, Kylo Ren|Luke Skywalker, Luke Skywalker|Obi-Wan Kenobi, Luke Skywalker|Yoda, Luke Skywalker|Kylo Ren, Luke Skywalker|Rey, Obi-Wan Kenobi|Anakin Skywalker, Obi-Wan Kenobi|Luke Skywalker, Obi-Wan Kenobi|Qui-Gon Jinn, Qui-Gon Jinn|Obi-Wan Kenobi, Qui-Gon Jinn|Yoda, Rey|Luke Skywalker, Rey|Leia Organa, Wally West|Barry Allen, Yoda|Qui-Gon Jinn, Yoda|Luke Skywalker, Yoda|Mace Windu
Master Servant; Dedue|Dimitri, Dimitri|Dedue, Edelgard|Hubert, Hubert|Edelgard
Mastermind; Maxwell
Megalomaniac; M. Bison, Seth
Mentor; Albus Dumbledore, Amos Kane, Brom, Gran'ma Ben, Iroh, Jay Garrick, Ted Kord
Mercenary; Medic
Metal Bender; Toph Beifong
Minion; Blue Stupid Rat Creature, Brown Stupid Rat Creature
Monk; Aang
Monster Hunter; Alucard, Blake Belladonna, Yang Xiao Long
Moral Compass; Ann Takamaki
Mortal Kombat; Scorpion|Tragic Backstory
Most Powerful; Albus Dumbledore, Amos Kane
Mother of Species; Rosalina
Movies; Akihide Karatsu
Muggleborn; Hermione Granger
Multiversal Origin; Alexander Luthor Jr., America Chavez, Blaze the Cat, Blink, Kal-L, Pariah, Superboy Prime
Muppet; Abby Cadabby, Animal, Bert, Big Bird, Ernie
Musclehead; Korra
Musical; Anna, Elsa, Kristoff, Olaf, Smiley Bone, Sven
Musician; Animal, Brook
Mutant; Psylocke
Mutants; Cannonball
Mutation; Beast
Mysterious Backstory; M. Bison, Medic, Sombra
NASA; Annie Montrose, Bruce Ng
Naive; Ash Ketchum, Olaf
Narrator; Scout Finch
Nature; Aloy
Naval Captain; Captain George Pollard Jr.
Nemesis; Doctor Eggman|Sonic the Hedgehog, Obi-Wan Kenobi|Darth Vader, Sonic the Hedgehog|Doctor Eggman
Nerd; Amazi-Girl, Baljeet Tjinder
New Mutants; Cannonball
New Yorker; Barry Wheeler
Nimble; Boun
Ninja; Psylocke
No Manners; Kristoff
No Words; Chewbacca, R2-D2
Nobility; Annette, Aragorn, Arthur Holmwood, Arwen, Arya, Azula, Bard the Bowman, Bernadetta, Black Panther, Blaze the Cat, Boromir, Bowser Jr., Bowser, Captain Nemo, Dimitri, Edelgard, Glimmer, Gran'ma Ben, Hubert, Iroh, Leia Organa, Mai, Princess Daisy, Princess Peach, Thorn Harvestar, Zuko
Non-Human; Banjo, Kazooie
Non-Powered; Barbara Gordon, Bentley-23, Black Widow, Bucky Barnes, Hawkeye, Mai, Sokka, Suki, Ted Kord
Norse; Alex Fierro, Atreus, Blitzen, Kratos, Magnus Chase
OCD; Adrian Monk
OSS; Carmen Cortez, Juni Cortez
Observer; Rosalina
Occult Interested; Abigail
Ocean; Aquaman, Captain Nemo, Percy Jackson
Old; Abraham Van Helsing, Albus Dumbledore, Brom, Gran'ma Ben, Iroh, Jay Garrick, Magneto
Omen; Harbringer, Pariah
Omnipotent; Athena
Orange; BB-8
Order of the Pheonix I; Albus Dumbledore
Order of the Pheonix II; Albus Dumbledore, Arthur Weasley, Bill Weasley
Original Four; Bill Kerman, Bob Kerman
Original Three (Band of Fools); Arthail Consumer of Food, Glynnric Manassnass, Kalathos Sunstrider
Orphan; Araithia Shokta, Boun
Outcast; Aragorn, Araithia Shokta, Boromir
Outdoorsman; Kristoff
Outsiders; Batman, Black Lightning
Overachiever; Annette, Hermione Granger
Overly Sexualized; Ally
Overwatch; Sombra
PR Person; Annie Montrose
Pacifist; Aang
Paladin; Nahara
Paragon; Adora, Captain America, Captain Marvel
